"Original.Name" "New.Name"
"1" "tBodyAcc-mean()-X" "tBodyAccmeanX"
"2" "tBodyAcc-mean()-Y" "tBodyAccmeanY"
"3" "tBodyAcc-mean()-Z" "tBodyAccmeanZ"
"4" "tBodyAcc-std()-X" "tBodyAccstdX"
"5" "tBodyAcc-std()-Y" "tBodyAccstdY"
"6" "tBodyAcc-std()-Z" "tBodyAccstdZ"
"7" "tBodyAcc-mad()-X" "tBodyAccmadX"
"8" "tBodyAcc-mad()-Y" "tBodyAccmadY"
"9" "tBodyAcc-mad()-Z" "tBodyAccmadZ"
"10" "tBodyAcc-max()-X" "tBodyAccmaxX"
"11" "tBodyAcc-max()-Y" "tBodyAccmaxY"
"12" "tBodyAcc-max()-Z" "tBodyAccmaxZ"
"13" "tBodyAcc-min()-X" "tBodyAccminX"
"14" "tBodyAcc-min()-Y" "tBodyAccminY"
"15" "tBodyAcc-min()-Z" "tBodyAccminZ"
"16" "tBodyAcc-sma()" "tBodyAccsma"
"17" "tBodyAcc-energy()-X" "tBodyAccenergyX"
"18" "tBodyAcc-energy()-Y" "tBodyAccenergyY"
"19" "tBodyAcc-energy()-Z" "tBodyAccenergyZ"
"20" "tBodyAcc-iqr()-X" "tBodyAcciqrX"
"21" "tBodyAcc-iqr()-Y" "tBodyAcciqrY"
"22" "tBodyAcc-iqr()-Z" "tBodyAcciqrZ"
"23" "tBodyAcc-entropy()-X" "tBodyAccentropyX"
"24" "tBodyAcc-entropy()-Y" "tBodyAccentropyY"
"25" "tBodyAcc-entropy()-Z" "tBodyAccentropyZ"
"26" "tBodyAcc-arCoeff()-X,1" "tBodyAccarCoeffX1"
"27" "tBodyAcc-arCoeff()-X,2" "tBodyAccarCoeffX2"
"28" "tBodyAcc-arCoeff()-X,3" "tBodyAccarCoeffX3"
"29" "tBodyAcc-arCoeff()-X,4" "tBodyAccarCoeffX4"
"30" "tBodyAcc-arCoeff()-Y,1" "tBodyAccarCoeffY1"
"31" "tBodyAcc-arCoeff()-Y,2" "tBodyAccarCoeffY2"
"32" "tBodyAcc-arCoeff()-Y,3" "tBodyAccarCoeffY3"
"33" "tBodyAcc-arCoeff()-Y,4" "tBodyAccarCoeffY4"
"34" "tBodyAcc-arCoeff()-Z,1" "tBodyAccarCoeffZ1"
"35" "tBodyAcc-arCoeff()-Z,2" "tBodyAccarCoeffZ2"
"36" "tBodyAcc-arCoeff()-Z,3" "tBodyAccarCoeffZ3"
"37" "tBodyAcc-arCoeff()-Z,4" "tBodyAccarCoeffZ4"
"38" "tBodyAcc-correlation()-X,Y" "tBodyAcccorrelationXY"
"39" "tBodyAcc-correlation()-X,Z" "tBodyAcccorrelationXZ"
"40" "tBodyAcc-correlation()-Y,Z" "tBodyAcccorrelationYZ"
"41" "tGravityAcc-mean()-X" "tGravityAccmeanX"
"42" "tGravityAcc-mean()-Y" "tGravityAccmeanY"
"43" "tGravityAcc-mean()-Z" "tGravityAccmeanZ"
"44" "tGravityAcc-std()-X" "tGravityAccstdX"
"45" "tGravityAcc-std()-Y" "tGravityAccstdY"
"46" "tGravityAcc-std()-Z" "tGravityAccstdZ"
"47" "tGravityAcc-mad()-X" "tGravityAccmadX"
"48" "tGravityAcc-mad()-Y" "tGravityAccmadY"
"49" "tGravityAcc-mad()-Z" "tGravityAccmadZ"
"50" "tGravityAcc-max()-X" "tGravityAccmaxX"
"51" "tGravityAcc-max()-Y" "tGravityAccmaxY"
"52" "tGravityAcc-max()-Z" "tGravityAccmaxZ"
"53" "tGravityAcc-min()-X" "tGravityAccminX"
"54" "tGravityAcc-min()-Y" "tGravityAccminY"
